,index,idandtype,productname,company,interest_type,highest_rate,deposit_limit,period,redemption_interest,monthly_interest,review_counts,average_rate
60,230,2590DEPOSITFSS,정기예금,shinan_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 36개월,1.0,"
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 2.1%우대 시 2.1%24개월기본 2.1%우대 시 2.1%36개월기본 2.1%우대 시 2.1%
",0,
61,238,2598DEPOSITFSS,스마트정기예금,shinan_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 36개월,1.0,"
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 2.1%우대 시 2.1%24개월기본 2.1%우대 시 2.1%36개월기본 2.1%우대 시 2.1%
",0,
62,246,2606DEPOSITFSS,정기예금,hyundai_sb,단리,2.4,10만원 ~ 제한없음,1개월 ~ 120개월,"1개월 이상:0.1
6개월 이상:1.0","
개월별 기본금리
6개월기본 1.8%우대 시 1.9%12개월기본 2.2%우대 시 2.3%24개월기본 2.3%우대 시 2.4%36개월기본 2.3%우대 시 2.4%
",1,3.0
63,254,2614DEPOSITFSS,정기예금,hanshin_sb,단리,1.9,10만원 ~ 제한없음,1개월 ~ 36개월,"3개월 미만:약정 당시 보통예금금리
3개월 이상:약정 당시 저축예금금리","
개월별 기본금리
6개월기본 1.4%우대 시 1.6%12개월기본 1.6%우대 시 1.8%24개월기본 1.7%우대 시 1.9%36개월기본 1.7%우대 시 1.9%
",0,
64,262,2622DEPOSITFSS,정기예금,goryo_sb,단리,2.8,10만원 ~ 제한없음,1개월 ~ 36개월,"6개월 미만:1.0
1년 미만:1.2
1년 이상:가입당시 1년 정기예금 금리","
개월별 기본금리
6개월기본 2%우대 시 2.1%12개월기본 2.4%우대 시 2.5%24개월기본 2.6%우대 시 2.7%36개월기본 2.7%우대 시 2.8%
",0,
65,270,2630DEPOSITFSS,꿈 찾아 정기예금,kukje_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 36개월,"1개월 이상:0.2
3개월 이상:0.3
6개월 이상:0.5
12개월 이상:1.0","
개월별 기본금리
6개월기본 1.3%우대 시 1.3%12개월기본 2.2%우대 시 2.2%24개월기본 2%우대 시 2%36개월기본 2%우대 시 2%
",0,
66,278,2638DEPOSITFSS,정기예금,dh_sb,단리,2.2,제한없음,1개월 ~ 24개월,"1개월 미만:0.5
1개월 이상:1.0
3개월 이상:1.0
6개월 이상:1.2
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.2%우대 시 2.2%24개월기본 2.2%우대 시 2.2%
",0,
67,284,2644DEPOSITFSS,정기예금,heungkuk_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 24개월,,"
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 2.2%우대 시 2.2%24개월기본 2.3%우대 시 2.3%
",0,
68,290,2650DEPOSITFSS,정기예금,woolee_sb,단리,8.0,10만원 ~ 제한없음,1개월 ~ 12개월,"2개월 미만:0.2
3개월 미만:0.3
6개월 미만:0.4
12개월 미만:0.6
12개월 이상:0.8","
개월별 기본금리
6개월기본 0.8%우대 시 0.8%12개월기본 1%우대 시 1%24개월기본 1%우대 시 1%
",0,
69,296,2656DEPOSITFSS,정기예금,insung_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 60개월,,"
개월별 기본금리
6개월기본 1.6%우대 시 1.7%12개월기본 2.1%우대 시 2.2%24개월기본 2.2%우대 시 2.3%36개월기본 2.2%우대 시 2.3%
",0,
70,304,2664DEPOSITFSS,정기예금,kuemhwa_sb,단리,2.4,10만원 ~ 제한없음,1개월 ~ 36개월,"3개월 미만:0.5
3개월 이상:해당경과기간이율*50%","
개월별 기본금리
6개월기본 1.8%우대 시 1.9%12개월기본 2.1%우대 시 2.2%24개월기본 2.3%우대 시 2.4%36개월기본 2.3%우대 시 2.4%
",0,
71,312,2672DEPOSITFSS,정기예금,incheon_sb,단리,2.4,제한없음,1개월 ~ 36개월,"6개월 미만:0.5
6개월 이상:1.0","
개월별 기본금리
6개월기본 1.6%우대 시 1.7%12개월기본 2.1%우대 시 2.2%24개월기본 2.3%우대 시 2.4%36개월기본 2.3%우대 시 2.4%
",2,2.5
72,320,2680DEPOSITFSS,정기예금,moa_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 24개월,"3개월 미만:0.2
3개월 이상:0.5
6개월 이상:1.0","
개월별 기본금리
6개월기본 1.5%우대 시 1.6%12개월기본 2.1%우대 시 2.2%24개월기본 2.1%우대 시 2.2%
",0,
73,326,2686DEPOSITFSS,정기예금,debec_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 60개월,"3개월 미만:0.2
6개월 미만:0.5
6개월 이상:1.0","
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 2%우대 시 2%24개월기본 2.1%우대 시 2.1%36개월기본 2.1%우대 시 2.1%
",0,
74,334,2694DEPOSITFSS,정기예금,union_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 12개월,"3개월 이하:0.2
3개월-6개월:0.5
6개월 초과:1.0","
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 2.1%우대 시 2.1%24개월기본 2.2%우대 시 2.2%
",1,3.0
75,338,2698DEPOSITFSS,정기예금 단리식,ms_sb,단리,2.2,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 1.9%우대 시 1.9%24개월기본 2.2%우대 시 2.2%36개월기본 2.2%우대 시 2.2%
",2,3.5
76,346,2706DEPOSITFSS,정기예금,anguk_sb,단리,2.3,100만원 ~ 제한없음,1개월 ~ 24개월,0.5,"
개월별 기본금리
6개월기본 1.8%우대 시 1.8%12개월기본 2.3%우대 시 2.3%24개월기본 2.3%우대 시 2.3%
",1,2.0
77,352,2712DEPOSITFSS,정기예금,ny_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 24개월,"1개월 미만:0.1
1개월-3개월:0.3
3개월-6개월:-0.5
6개월-12개월:1.0
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.7%우대 시 1.8%12개월기본 2%우대 시 2.1%24개월기본 2.1%우대 시 2.2%
",0,
78,358,2718DEPOSITFSS,정기예금,bulim_sb,단리,2.1,100만원 ~ 제한없음,1개월 ~ 24개월,"12개월 미만:0.5
12개월 이상:최초약정이율","
개월별 기본금리
6개월기본 1.6%우대 시 1.8%12개월기본 1.9%우대 시 2.1%24개월기본 1.9%우대 시 2.1%
",0,
79,364,2724DEPOSITFSS,정기예금,kiwoom_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 24개월,"3개월 미만:0.3
3개월 이상:0.5
6개월 이상:1.0
12개월 이상:1.0","
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 2.2%우대 시 2.2%24개월기본 2.3%우대 시 2.3%
",0,
80,370,2730DEPOSITFSS,e-plus정기예금,kiwoom_sb,단리,2.4,10만원 ~ 제한없음,1개월 ~ 24개월,"3개월 미만:0.3
3개월 이상:0.5
6개월 이상:1.0
12개월 이상:1.0","
개월별 기본금리
6개월기본 1.75%우대 시 1.8%12개월기본 2.25%우대 시 2.3%24개월기본 2.35%우대 시 2.4%
",0,
81,376,2736DEPOSITFSS,정기예금,samjung_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 24개월,"1개월 미만:0
3개월 미만:1.0
6개월 미만:1.2
1년 미만:1.2
1년 이상:1.5","
개월별 기본금리
6개월기본 1.8%우대 시 1.9%12개월기본 2%우대 시 2.1%24개월기본 2%우대 시 2.1%
",0,
82,382,2742DEPOSITFSS,복리정기예금,pt_sb,단리,1.9,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 1.9%우대 시 1.9%24개월기본 1.9%우대 시 1.9%36개월기본 1.9%우대 시 1.9%
",0,
83,390,2750DEPOSITFSS,정기예금,anyang_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 36개월,"1개월 이상:0.5
4개월-1년:1.0
1년 이상:1.5","
개월별 기본금리
6개월기본 1.8%우대 시 1.9%12개월기본 2.2%우대 시 2.3%24개월기본 2.2%우대 시 2.3%36개월기본 2.2%우대 시 2.3%
",0,
84,398,2758DEPOSITFSS,정기예금 단리,yj_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 24개월,"1개월 미만:1.0
1개월-6개월:1.2
6개월-12개월:1.2
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.8%우대 시 1.9%12개월기본 2%우대 시 2.1%24개월기본 2%우대 시 2.1%
",0,
85,404,2764DEPOSITFSS,정기예금,yc_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 36개월,"3개월 미만:0.5
3개월-12개월:1.0
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.2%우대 시 2.2%24개월기본 2.2%우대 시 2.2%36개월기본 2.2%우대 시 2.2%
",0,
86,412,2772DEPOSITFSS,정기예금,seram_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 36개월,"3개월 미만:0.5
6개월 미만:0.5
12개월 미만:0.5
24개월 미만:1.0
36개월 미만:1.5","
개월별 기본금리
6개월기본 1.8%우대 시 1.8%12개월기본 2.2%우대 시 2.2%24개월기본 2.3%우대 시 2.3%36개월기본 2.3%우대 시 2.3%
",0,
87,420,2782DEPOSITFSS,정기예금,pepper_sb,단리,2.35,10만원 ~ 제한없음,1개월 ~ 24개월,"1개월 미만:0.5
3개월 미만:0.6
6개월 미만:0.8
12개월 미만:1.0
12개월-24개월:1.2","
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 2.25%우대 시 2.25%24개월기본 2.35%우대 시 2.35%
",1,3.0
88,426,2788DEPOSITFSS,정기예금,gp_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 24개월,"1개월 미만:0.5
1개월-3개월:0.7
3개월-12개월:1.0
12개월 이상:1.0","
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 2%우대 시 2%24개월기본 2.1%우대 시 2.1%36개월기본 1.9%우대 시 1.9%
",0,
89,434,2796DEPOSITFSS,한화가족사랑 정기예금,hanwha_sb,단리,1.9,10만원 ~ 제한없음,1개월 ~ 24개월,"6개월 미만1.0
6개월 이상:1.5","
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 1.9%우대 시 1.9%24개월기본 1.9%우대 시 1.9%
",0,
90,440,2802DEPOSITFSS,e뱅킹정기예금,hanwha_sb,단리,2.05,10만원 ~ 제한없음,1개월 ~ 24개월,"6개월 미만1.0
6개월 이상:1.5","
개월별 기본금리
6개월기본 1.6%우대 시 1.65%12개월기본 2%우대 시 2.05%24개월기본 2%우대 시 2.05%
",1,3.0
91,446,2808DEPOSITFSS,정기예금,gangwon_sb,단리,1.35,10만원 ~ 제한없음,3개월 ~ 36개월,"1개월 미만:0.1
1개월-6개월:0.5
6개월 이상:0.7
1년 이상:0.8","
개월별 기본금리
6개월기본 1.15%우대 시 1.15%12개월기본 1.35%우대 시 1.35%24개월기본 1.35%우대 시 1.35%36개월기본 1.35%우대 시 1.35%
",0,
92,454,2816DEPOSITFSS,정기예금,dm_sb,단리,8.0,10만원 ~ 제한없음,6개월 ~ 36개월,,"
개월별 기본금리
6개월기본 1.8%우대 시 1.8%12개월기본 2%우대 시 2%24개월기본 2%우대 시 2%36개월기본 2%우대 시 2%
",0,
93,462,2824DEPOSITFSS,행복플러스 정기예금,dm_sb,단리,2.1,10만원 ~ 제한없음,12개월 ~ 36개월,,"
개월별 기본금리
12개월기본 2.05%우대 시 2.1%24개월기본 2.05%우대 시 2.1%36개월기본 2.05%우대 시 2.1%
",0,
94,468,2830DEPOSITFSS,정기예금,aju_sb,단리,1.9,10만원 ~ 제한없음,1개월 ~ 60개월,경과기간에 따라 당행에서 정하는 중도해지이율,"
개월별 기본금리
6개월기본 1.6%우대 시 1.7%12개월기본 1.8%우대 시 1.9%24개월기본 1.8%우대 시 1.9%36개월기본 1.8%우대 시 1.9%
",1,4.0
95,476,2846DEPOSITFSS,정기예금,cheongju_sb,단리,2.4,10만원 ~ 제한없음,1개월 ~ 36개월,,"
개월별 기본금리
6개월기본 1.8%우대 시 1.9%12개월기본 2.3%우대 시 2.4%24개월기본 2.3%우대 시 2.4%36개월기본 2.3%우대 시 2.4%
",1,4.0
96,484,2854DEPOSITFSS,정기예금,hansung_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 12개월,"3개월 미만:1.0
3개월-6개월:1.0
6개월-12개월:1.0","
개월별 기본금리
6개월기본 1.6%우대 시 1.7%12개월기본 2%우대 시 2.1%
",0,
97,488,2858DEPOSITFSS,정기예금,sj_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 24개월,"1개월 미만:0.5
1개월-3개월:0.7
3개월 이상:1.0","
개월별 기본금리
6개월기본 1.7%우대 시 1.8%12개월기본 2.2%우대 시 2.3%24개월기본 2.2%우대 시 2.3%
",1,4.0
98,494,2864DEPOSITFSS,정기예금,asan_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 36개월,,"
개월별 기본금리
6개월기본 1.7%우대 시 1.8%12개월기본 2%우대 시 2.1%24개월기본 2%우대 시 2.1%36개월기본 2%우대 시 2.1%
",1,3.0
99,502,2872DEPOSITFSS,정기예금,o2_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 36개월,"1개월 미만:해지일의 보통예금 이율
3개월 미만:해지일의 보통예금 이율
3개월 이상:3개월 이상 약정이율의 60%","
개월별 기본금리
6개월기본 1.6%우대 시 1.7%12개월기본 2.2%우대 시 2.3%24개월기본 2.2%우대 시 2.3%36개월기본 2.2%우대 시 2.3%
",0,
100,510,2880DEPOSITFSS,정기예금,star_sb,단리,1.9,10만원 ~ 제한없음,1개월 ~ 24개월,,"
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 1.9%우대 시 1.9%24개월기본 1.5%우대 시 1.5%36개월기본 1.5%우대 시 1.5%
",0,
101,518,2888DEPOSITFSS,정기예금,daehan_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 24개월,"6개월 미만:보통예금이율
24개월 미만:정기예금 1년 약정금리","
개월별 기본금리
6개월기본 1.8%우대 시 1.8%12개월기본 2.3%우대 시 2.3%24개월기본 2.3%우대 시 2.3%
",0,
102,524,2894DEPOSITFSS,정기예금,dy_sb,단리,2.45,10만원 ~ 제한없음,1개월 ~ 36개월,보통예금이율(1%) 적용,"
개월별 기본금리
6개월기본 1.8%우대 시 1.9%12개월기본 2.3%우대 시 2.4%24개월기본 2.35%우대 시 2.45%36개월기본 2.35%우대 시 2.45%
",0,
103,532,2910DEPOSITFSS,정기예금,double_sb,단리,2.5,10만원 ~ 제한없음,1개월 ~ 36개월,"6개월 미만:0.7
12개월 미만:1.0
12개월 이상:1.2","
개월별 기본금리
6개월기본 1.6%우대 시 1.7%12개월기본 2.38%우대 시 2.48%24개월기본 2.4%우대 시 2.5%36개월기본 2.4%우대 시 2.5%
",0,
104,540,2918DEPOSITFSS,정기예금,central_sb,단리,1.8,10만원 ~ 제한없음,1개월 ~ 12개월,"6개월 이상:1.3
6개월 미만:1.0","
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 1.8%우대 시 1.8%
",0,
105,544,2922DEPOSITFSS,정기예금,smart_sb,단리,2.35,10만원 ~ 제한없음,1개월 ~ 36개월,"3개월 미만:0.25
3개월-12개월:0.5
12개월-24개월:1.5","
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.2%우대 시 2.2%24개월기본 2.3%우대 시 2.3%36개월기본 2.35%우대 시 2.35%
",0,
106,552,2930DEPOSITFSS,e-정기예금,smart_sb,단리,2.45,10만원 ~ 제한없음,1개월 ~ 36개월,,"
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.3%우대 시 2.3%24개월기본 2.4%우대 시 2.4%36개월기본 2.45%우대 시 2.45%
",0,
107,560,2938DEPOSITFSS,정기예금,ki_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 36개월,"3개월 미만:보통예금 금리
3개월 이상:약정금리 50%","
개월별 기본금리
6개월기본 1.5%우대 시 1.6%12개월기본 2.1%우대 시 2.2%24개월기본 2.2%우대 시 2.3%36개월기본 2.2%우대 시 2.3%
",0,
108,568,2946DEPOSITFSS,정기예금,gumi_sb,단리,2.38,10만원 ~ 제한없음,1개월 ~ 36개월,"1개월 미만:보통예금이율
1년 미만:0.5","
개월별 기본금리
6개월기본 1.6%우대 시 1.8%12개월기본 2.18%우대 시 2.38%24개월기본 2.18%우대 시 2.38%36개월기본 2.18%우대 시 2.38%
",1,3.0
109,575,2953DEPOSITFSS,정기예금,dream_sb,단리,2.3,10만원 ~ 제한없음,1개월 ~ 36개월,"1개월 미만:보통예금이율
1년 미만:약정이율 1/3
1년 이상:약정이율 1/2","
개월별 기본금리
6개월기본 1.6%우대 시 1.7%12개월기본 2%우대 시 2.1%24개월기본 2.2%우대 시 2.3%36개월기본 2.2%우대 시 2.3%
",1,4.0
110,583,2961DEPOSITFSS,정기예금,daea_sb,단리,1.7,제한없음,제한없음,,"
개월별 기본금리
6개월기본 1.1%우대 시 1.1%12개월기본 1.7%우대 시 1.7%24개월기본 1.5%우대 시 1.5%36개월기본 1.5%우대 시 1.5%
",0,
111,591,2969DEPOSITFSS,정기예금,samil_sb,단리,2.2,10만원 ~ 제한없음,1개월 ~ 120개월,"1개월 미만:0.2
1개월-1년:0.5
1년 이상:1.0","
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.2%우대 시 2.2%24개월기본 2.2%우대 시 2.2%36개월기본 2.2%우대 시 2.2%
",0,
112,599,2977DEPOSITFSS,정기예금,charm_sb,단리,2.0,10만원 ~ 제한없음,1개월 ~ 24개월,"1개월 미만:0.25
6개월 미만:약정이율의 30%
12개월 미만:약정이율의 40%
12개월 이상:약정이율의 50%","
개월별 기본금리
6개월기본 2%우대 시 2%12개월기본 2.4%우대 시 2.4%24개월기본 2.6%우대 시 2.6%
",0,
113,611,2989DEPOSITFSS,정기예금,osung_sb,단리,1.84,10만원 ~ 제한없음,1개월 ~ 36개월,"3개월 미만:0.3
6개월 미만:0.6
12개월 미만:0.8
12개월 이상:1.0","
개월별 기본금리
6개월기본 1.4%우대 시 1.4%12개월기본 1.84%우대 시 1.84%24개월기본 1.84%우대 시 1.84%36개월기본 1.84%우대 시 1.84%
",0,
114,615,2993DEPOSITFSS,정기예금,daewon_sb,단리,5.0,10만원 ~ 제한없음,1개월 ~ 36개월,,"
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 2%우대 시 2%24개월기본 1.8%우대 시 1.8%36개월기본 1.8%우대 시 1.8%
",0,
115,623,3001DEPOSITFSS,정기예금,snt_sb,단리,2.15,10만원 ~ 제한없음,1개월 ~ 24개월,"1개월 미만:보통예금이율
2개얼 미만:0.7
2개월 이상:가입당시 실예치기간 약정금리 50%","
개월별 기본금리
6개월기본 1.69%우대 시 1.69%12개월기본 2.1%우대 시 2.1%24개월기본 2.15%우대 시 2.15%36개월기본 1.68%우대 시 1.68%
",0,
116,624,3002DEPOSITFSS,정기예금(복리),snt_sb,복리,7.0,10만원 ~ 제한없음,1개월 ~ 24개월,"1개월 미만:보통예금이율
2개얼 미만:0.7
2개월 이상:가입당시 실예치기간 약정금리 50%","
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 1.92%우대 시 1.92%24개월기본 2%우대 시 2%36개월기본 1.7%우대 시 1.7%
",0,
117,631,3009DEPOSITFSS,정기예금,soulbrain_sb,단리,2.1,10만원 ~ 제한없음,1개월 ~ 24개월,"6개월 미만:0.5
6개월 이상:1.0
12개월 이상:1.5","
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.1%우대 시 2.1%24개월기본 2.1%우대 시 2.1%
",0,
118,637,3015DEPOSITFSS,정기예금,ji_sb,단리,2.3,제한없음,제한없음,"6개월미만:0.5
6개월이상:1.0
12개월이상:1.5","
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.3%우대 시 2.3%24개월기본 2.3%우대 시 2.3%
",0,
119,643,3021DEPOSITFSS,정기예금,ch_sb,단리,2.0,제한없음,제한없음,"1개월 미만:0.1
1개월-3개월:0.5
6개월 미만:1.0
6개월-1년:1.3
24개월 미만:1.7
36개월 미만:1.7","
개월별 기본금리
6개월기본 2%우대 시 2%12개월기본 2.18%우대 시 2.18%24개월기본 2.22%우대 시 2.22%36개월기본 2.22%우대 시 2.22%
",0,
120,651,3029DEPOSITFSS,정기예금 단리식,jinju_sb,단리,1.9,10만원 ~ 제한없음,1개월 ~ 24개월,신규일부터 해약일 전일까지 해당기간 이율의 1/3,"
개월별 기본금리
6개월기본 1.69%우대 시 1.69%12개월기본 1.8%우대 시 1.8%24개월기본 1.9%우대 시 1.9%
",0,
121,654,3032DEPOSITFSS,정기예금 복리식,jinju_sb,복리,1.93,10만원 ~ 제한없음,1개월 ~ 24개월,신규일부터 해약일 전일까지 해당기간 이율의 1/3,"
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 1.81%우대 시 1.81%24개월기본 1.93%우대 시 1.93%
",0,
122,657,3035DEPOSITFSS,e-파워정기예금,kb,단리,1.5,100만원 ~ 제한없음,1개월 ~ 12개월,"1개월 미만:연0.1%
1개월-3개월:기본이율50%*경과월수/12개월(최저금리 연0.3%)
3개월이상:기본이율50%*경과월수/12개월(최저금리 연0.5%)","
개월별 기본금리
6개월기본 1.1%우대 시 1.4%12개월기본 1.2%우대 시 1.5%
",2,3.5
123,659,3037DEPOSITFSS,KB Smart★폰 예금,kb,단리,1.8,"100만원 ~ 3,000만원",1개월 ~ 12개월,"1개월 미만:연0.1%
1개월-3개월:기본이율50%*경과월수/12개월(최저금리 연0.3%)
3개월이상:기본이율50%*경과월수/12개월(최저금리 연0.5%)","
개월별 기본금리
6개월기본 1.1%우대 시 1.7%12개월기본 1.2%우대 시 1.8%
",0,
124,661,3039DEPOSITFSS,KB골든라이프연금우대예금,kb,복리,1.4,"1,000만원 ~ 제한없음",12개월 ~ 120개월,"1개월 미만:연0.1%
1개월-3개월:기본이율50%*경과월수/12개월(최저금리 연0.3%)
3개월이상:기본이율50%*경과월수/12개월(최저금리 연0.5%)","
개월별 기본금리
12개월기본 1.2%우대 시 1.4%
",0,
125,662,3040DEPOSITFSS,KB창조금융예금,kb,단리,1.3,"100만원 ~ 3,000만원",6개월 ~ 12개월,"1개월 미만:연0.1%
1개월-3개월:기본이율50%*경과월수/12개월(최저금리 연0.3%)
3개월이상:기본이율50%*경과월수/12개월(최저금리 연0.5%)","
개월별 기본금리
6개월기본 1.15%우대 시 1.25%12개월기본 1.2%우대 시 1.3%
",0,
